1: 1 2 3 4 edmonton_oilers
2: 1 2 3 5 new_jersey_devils
3: 1 2 3 6 calgary_flames
4: 1 2 3 7 arizona_coyotes
5: 1 2 3 8 new_jersey_devils
6: 1 2 3 9 calgary_flames
7: 1 2 3 10 buffalo_sabres
8: 1 2 3 11 buffalo_sabres
9: 1 2 3 12 toronto_maple_leafs
10: 1 2 3 13 winnipeg_jets
11: 1 2 3 14 toronto_maple_leafs
12: 1 2 4 5 buffalo_sabres
13: 1 2 4 6 edmonton_oilers
14: 1 2 4 7 toronto_maple_leafs
15: 1 2 4 8 columbus_blue_jackets
16: 1 2 4 9 columbus_blue_jackets
17: 1 2 4 10 toronto_maple_leafs
18: 1 2 4 11 arizona_coyotes
19: 1 2 4 12 montreal_canadiens
20: 1 2 4 13 montreal_canadiens
21: 1 2 4 14 edmonton_oilers
22: 1 2 5 6 calgary_flames
23: 1 2 5 7 arizona_coyotes
24: 1 2 5 8 edmonton_oilers
25: 1 2 5 9 winnipeg_jets
26: 1 2 5 10 colorado_avalanche
27: 1 2 5 11 edmonton_oilers
28: 1 2 5 12 montreal_canadiens
29: 1 2 5 13 toronto_maple_leafs
30: 1 2 5 14 edmonton_oilers
31: 1 2 6 7 buffalo_sabres
32: 1 2 6 8 toronto_maple_leafs
33: 1 2 6 9 arizona_coyotes
34: 1 2 6 10 edmonton_oilers
35: 1 2 6 11 arizona_coyotes
36: 1 2 6 12 montreal_canadiens
37: 1 2 6 13 calgary_flames
38: 1 2 6 14 colorado_avalanche
39: 1 2 7 8 winnipeg_jets
40: 1 2 7 9 toronto_maple_leafs
41: 1 2 7 10 toronto_maple_leafs
42: 1 2 7 11 winnipeg_jets
43: 1 2 7 12 arizona_coyotes
44: 1 2 7 13 calgary_flames
45: 1 2 7 14 colorado_avalanche
46: 1 2 8 9 columbus_blue_jackets
47: 1 2 8 10 colorado_avalanche
48: 1 2 8 11 toronto_maple_leafs
49: 1 2 8 12 arizona_coyotes
50: 1 2 8 13 arizona_coyotes
51: 1 2 8 14 toronto_maple_leafs
52: 1 2 9 10 toronto_maple_leafs
53: 1 2 9 11 calgary_flames
